Cato Vane
Alaric Vorne
Tibalt Marek
Hektor Draken
Silas Vane
Cassiel Thorne
Varro Tigris
Kardan Stross
Mordecai Nyx
Jago Sevatar
Bram Darko
Valerius Max
Zephon Kahl
Ortan Cass
Garviel Loken
Tarik Torgaddon
Iacton Qruze
Saul Tarvitz
Lucius Eternal
Fabius Bile
Kharn Voron
Sigismund Hel
Alexis Polux
Fafnir Rann
Nassir Amit
Azkaellon Sanguis
Raldoron Sanguis
Amit Flesh
Sevatarion Night
Shang Haul
Gendor Skraivok
Malcharion Sage
Talos Valcoran
Xarl Night
Cyrion Night
Uzas Night
Mercutian Night
Variel Flay
Lucoryphus Bleak
Zso Sahaal
Krieg Acerbus
Skraivok Painted
Curze Night
Sanguinius Angel
Horus Warmaster
Angron Red
Mortarion Death
Perturabo Iron
Lorgar Aurelian
Fulgrim Phoenician
Alpharius Omegon
Guilliman Roboute
Dorn Rogal
Manus Ferrus
Khan Jaghatai
Russ Leman
Vulkan Drake
Corax Corvus
El'Jonson Lion
Magnus Red
Malcador Sigillite
Valdor Constantin
Ra Endymion
Diocletian Coros
Zephon Dominion
Land Arkhan
Cawl Belisarius
Yassilli Sulymanya
Keeler Euphrati
Sindermann Kyril
Oliton Mersadie
Kasten Maggard
Temeter Ullis
Huron Lufgt
Moloc Asterion
Tyberos Red
Hecaton Aikos
Culln Carab
Valerius Porthos
Atharva Adept
Phosis T'kar
Hathor Maat
Khalophis Pyrae
Auramagma Bale
Uthizzar Amon
Ahriman Ahzek
Ohrmuzd Ahriman
Sanakht Swords
Ignis Master
Gaumata Adept
Menes Kalliston
Arvida Revuel
Iezekyle Abaddon
Falkus Kibre
Kayfal Relly
Kalus Ekaddon
Luc Sedirae
Devram Korda
Little Horus
Maloghurst Twisted
Serghar Targost
Geraddon Tybalt
Argis Danath
Berossus Warsmith
Forrix Breaker
Kroeger Warsmith
Honsou Half
Barban Falk
Soltarn Vull
Golg Eras
Narik Dreygur
Nykona Sharrowkyn
Sabik Wayland
Branthan Shadrak
Frater Thamatica
Atreus Iron
Castus Iron
Decimus Felix
Justinian Ptol
Messinius Vitrian
Areon Talos
Calgar Marneus
Agemman Severus
Sicarius Cato
Ventris Uriel
Pasanius Lysane
Telion Torias
Chronus Antaro
Cassius Ortanius
Tigurius Varro
Lysander Darnath
Kantor Pedro
Grimnar Logan
Ragnar Blackmane
Ulrik Slayer
Njall Storm
Arjac Rock
Lukas Trickster
Canis Wolf
Mephiston Calistarius
Dante Luis
Corbulo Donatos
Lemartes Guardian
Astorath Redeemer
Tycho Erasmus
Seth Gabriel
Azrael Supreme
Ezekiel Grand
Asmodai Master
Belial Master
Sammael Master
Cypher Fallen
Grimaldus Merek
Helbrecht High
Emperor Mankind
Malcador Hero
Erda Perpetual
Grammaticus John
Ollanius Persson
Alivia Sureka
Damon Prytanis
Aktos Necron
Trazyn Infinite
Orikan Diviner
Imotekh Storm
Zahndrekh Nemesor
Obyron Vargard
Szeras Illuminor
Anrakyr Traveler
Ghazghkull Thraka
Makari Banner
Nazdreg Ug
Badrukk Kaptain
Grotsnik Mad
Zagstruk Boss
Snikrot Boss
Eldrad Ulthran
Yvraine Emissary
Visarch Blade
Ynnead God
Jain Zar
Baharroth Cry
Karandras Shadow
Fuegan Burning
Maugan Ra
Irillyth Shadow
Vect Asdrubael
Lelith Hesperax
Urien Rakarth
Drazhar Master
Kheradruakh Decapitator
Aurelia Malys
Rakarth Flesh
Kruellagh Vile
Sathonyx Baron
Sliscus Duke
Be'lakor Prince
Archaon Everchosen
Kairos Weaver
Skarbrand Exile
Lucian Thorne
Valerius Kestrel
Theron Vos
Arkon Helos
Quintus Varl
Drakan Vane
Silas Moray
Kaelen Voss
Bram Wolfen
Jaxon Krell
Myron Thrax
Torin Gaunt
Hadran Sol
Zephyrin Kaul
Belos Iron
Valian Krane
Oris Valen
Garran Void
Tiber Gallow
Kestus Drax
Lucius Varro
Marcus Jago
Falco Sorn
Varek Storm
Draxus Bane
Solon Rhad
Kyrus Vex
Valerius Nox
Joran Grey
Silas Thorne
Kaelo Vane
Theron Krall
Aris Thrac
Magnus Vorn
Kellen Drax
Varus Krell
Jago Thorne
Bram Vex
Silas Krane
Myron Voss
Torin Varl
Hadran Vane
Zephyrin Nox
Belos Kestrel
Valian Vos
Oris Helos
Garran Vane
Tiber Moray
Kestus Voss
